net,length_um
_064_,93.18µm
net32,92.38µm
net34,91.92µm
net35,86.28µm
clknet_2_2__leaf_clk,60.9µm
clknet_2_3__leaf_clk,60.56µm
clknet_0_clk,59.62µm
clknet_2_1__leaf_clk,57.02µm
clknet_2_0__leaf_clk,56.84µm
net33,54.36µm
_055_,48.98µm
_050_,47.965µm
_044_,47.58µm
net28,47.29µm
clk,41.49µm
net10,39.47µm
_032_,38.86µm
_053_,38.48µm
net29,38.32µm
net8,34.56µm
net12,34.5µm
_039_,34.41µm
net15,32.02µm
net6,30.625µm
net9,28.74µm
_046_,27.96µm
net11,26.69µm
_035_,26.32µm
net30,25.78µm
net19,25.695µm
_030_,25.28µm
net18,24.92µm
net22,24.48µm
net25,23.52µm
net2,23.32µm
net7,23.32µm
net3,21.72µm
net13,21.56µm
net5,21.3µm
net27,21.12µm
_041_,21.04µm
net4,20.14µm
_005_,20.1µm
net14,19.96µm
_054_,19.32µm
net26,19.3µm
net23,19.1µm
_058_,18.44µm
_060_,17.82µm
net17,17.36µm
net37,16.79µm
net1,16.56µm
_033_,16.1µm
_031_,15.92µm
PC4\[4\],15.68µm
_021_,15.16µm
_047_,15.14µm
net21,14.66µm
net16,14.18µm
reset,14.15µm
current_pc[31],14.02µm
PC4\[24\],13.9µm
_022_,13.31µm
_049_,12.76µm
current_pc[22],12.65µm
_051_,12.32µm
PC4\[11\],12.28µm
_056_,12.26µm
net31,12.24µm
PC4\[26\],12.18µm
_059_,11.665µm
current_pc[26],11.65µm
_038_,11.62µm
net20,11.03µm
current_pc[4],11µm
current_pc[5],11µm
_042_,10.66µm
current_pc[2],10.54µm
current_pc[3],10.54µm
current_pc[28],10.43µm
net45,9.94µm
net53,9.94µm
_061_,9.9µm
current_pc[6],9.83µm
_034_,9.775µm
current_pc[20],9.61µm
current_pc[23],9.61µm
net46,9.52µm
net57,9.28µm
PC4\[29\],9.2µm
net61,9.2µm
PC4\[25\],9.14µm
_057_,9.14µm
PC4\[23\],8.98µm
_037_,8.94µm
current_pc[25],8.93µm
_052_,8.92µm
PC4\[27\],8.64µm
current_pc[12],8.5µm
current_pc[13],8.5µm
current_pc[14],8.5µm
current_pc[15],8.5µm
current_pc[16],8.5µm
current_pc[17],8.5µm
current_pc[19],7.95µm
_048_,7.78µm
PC4\[7\],7.74µm
_040_,7.68µm
PC4\[20\],7.64µm
current_pc[21],7.57µm
_043_,7.52µm
net55,7.44µm
current_pc[18],7.37µm
net60,7.36µm
_063_,7.22µm
net51,7.1µm
_036_,6.8µm
net43,6.72µm
current_pc[27],6.67µm
_062_,6.48µm
PC4\[2\],6.42µm
PC4\[13\],6.38µm
_017_,6.37µm
PC4\[5\],6.28µm
_014_,6.26µm
_015_,6.25µm
current_pc[8],6.09µm
_025_,6.06µm
_026_,6.02µm
net42,5.98µm
_016_,5.91µm
net44,5.86µm
_013_,5.8µm
current_pc[24],5.77µm
current_pc[10],5.75µm
net24,5.72µm
net62,5.68µm
current_pc[29],5.53µm
_027_,5.46µm
net40,5.26µm
_001_,5.21µm
current_pc[30],5.19µm
current_pc[11],5.07µm
current_pc[7],5.07µm
current_pc[9],5.07µm
net36,5.07µm
net50,5.06µm
PC4\[3\],4.92µm
_019_,4.88µm
net49,4.8µm
PC4\[14\],4.68µm
_008_,4.61µm
_023_,4.54µm
net38,4.48µm
PC4\[15\],4.44µm
PC4\[30\],4.44µm
net59,4.08µm
net52,4µm
net56,4µm
PC4\[6\],3.76µm
_012_,3.76µm
net48,3.68µm
PC4\[17\],3.66µm
_004_,3.59µm
PC4\[9\],3.54µm
PC4\[12\],3.3µm
_018_,3.3µm
_028_,3.23µm
PC4\[19\],3.08µm
PC4\[31\],3.08µm
PC4\[10\],2.84µm
_011_,2.77µm
net39,2.76µm
_010_,2.69µm
PC4\[8\],2.64µm
PC4\[18\],2.62µm
PC4\[22\],2.62µm
PC4\[16\],2.52µm
_045_,2.52µm
PC4\[21\],2.5µm
_009_,2.5µm
PC4\[28\],2.465µm
_003_,2.38µm
_006_,2.23µm
_007_,2.23µm
_029_,2.04µm
net58,1.84µm
_065_,1.72µm
net47,1.38µm
_000_,1.36µm
_002_,1.36µm
_020_,1.36µm
_024_,1.36µm
net41,0.92µm
net54,0.92µm
